question,answer
What is one potential health complication that can arise from Obstructive Sleep Apnea (OSA)?,OSA can lead to secondary hypertension.
I have a painful pulsating pain in the bottom of my stomach and my sides... I can also hear churning in my stomach... like a swooshing liquid sound. It has just started today but it is so painful. I actually collapsed because of the pain....any suggestions?,"Hi. Thanks for your query and an elucidated history. This is a very classical history of a volumes of a particular part of the intestines. You history of a splash, pulsatile pain in stomach, hearing churning and swooshing liquid sound all suggest the same. I would advise the following in such a patient"
"Hello doctor, I am 30 yrs old. I had typhoid in feb month 2011 for a month. After took whole prescribed medicine from doctor. Every month, before the my period my body temperature goes up till 99.4F and exactly 2 days before of period it goes down automatically. After the typhoid, i feel difficultly in breathing. Doctor said, drink lots of water, it worked some extend. Once or twice in the month i feel the strong headache. And there is feeling that some thing enlarge in my right side of the stomach. But in the ultrasound reports were ok. I had tested my blood in sept month 2011, Only ESR had increased 65. Plz suggest, what needs to be done to solve all these problems.","Hello. Thanks for writing to Chat Doctor. I read and understand your question very well. I try my level best to solve it. As you have breathing problem and headache problem. I told you there are many causes for headache and breathing like anemia , Bacterial infection, asthma, chronic infection, not taking proper food, lack of vitamins etc. I advise you to do CBC and Vitamin B12 level. Furthermore, I also suggest you to take Tab. Multivitamin twice a day. Also, you can't feel hungrier than take Tab Gomez half an hour before lunch and dinner, it increases your appetite. Take proper healthy food, fruit , Milk etc. Also check your eyes by good ophthalmologist. If symptom persist than consult a good physician for this. I hope my advice will help you a lot. Thanks and Regards Chat Doctor."
"My son has been sick and just received blood tests back showing a Lipase result of 5, AST of 319 and ALT of 145. He cannot get back into the doctor until next week. So, we are trying to learn what these values mean and if he has liver disease. And if he should all doctor back to ask for additional blood tests before his next apt. (Hept A, B, C, etc)","Hello, Is he alcoholic? How old is he?? Yes, elevated enzymes may be called significant, if elevated more than 2-3 times above than normal. Normal levels of AST ranges from 5 to 43 or 45 units per liter and of ALT from 7 to 56 or 60 units per liter. Elevated enzymes may be seen in hepatitis due to alcohol or Chat Doctor. He may advise tests according to the clinical presentation and age. Hope I have answered your query. Let me know if I can assist you further."
"I have had a sharp pain under my left rib cage for 3 days now, and today i am seeing spots, i am dizzy and the pain is getting worse. I am also tired and have had some mild diarhhea (i did eat taco bell last night ) could this be a pulmonary embolism?","Hi and thank you for choosing Chat Doctor to post your question. I read carefully your question and understand your concern. Chest pain it can be a serious symptom and needs careful evaluation since it can be related to serious heart and lung disease. If I was your treating doctor I would need to know a bit more about your age, your past medical history since there are risk factors that increase the clinical probability of pulmonary embolism such as"
hello doctor in a routine testing i was having sgot/sgpt as 114 and 173 my physician gave me tests such as hsbag which was negative there after he gave me ultrasound which showed the impression that Mild fatty liver no evidence of cirhosis and calculas in rt kidney after ultrasound he told me to go for hcv antibody which was 0.30 compared to the normal value of 0.26 but the RNA for viral load was not detected my doctor told me that it is due to fatty liver but i am worries as i feel mild enlargement in the lymph nodes under my arm pit.can you pls suggest what i should do??,"Hi, I hope you are well, the study for the elevation of liver enzymes should start by establishing the pattern and severity of this alteration, with the search for viral infections such as hepatitis B and C virus infection, autoimmune and metabolic diseases, certain aggregate conditions such as being overweight, obesity or alcohol consumption or consumption of medications. The detection of the hepatitis c virus is by a Eric antibody that can present false positives, corroborating the measurement by measuring the viral load, which when undetected indicates the absence of viral replication. It is important that you have a complete panel for hepatitis C to make a better decision in your case."
What is the spectrum of amoxicillin and ampicillin (aminopenicillins)?,The spectrum of amoxicillin and ampicillin (aminopenicillins) is broad.
What to expect if I have Third degree AV block  (Outlook/Prognosis)?,The prognosis of patients with complete heart block is generally poor without therapy. Patients with 1st and 2nd degree heart block are usually asymptomatic.
I have been having abdominal pain lower back pain heartburn indigestion sore throat and neck abnormal periods and bloating fatigue and now roof of mouth feels sore. What should I do and tested positive for h pylori go from constant diarrhea to constipation and looks like stomach lining is coming out in my stools. Did 2 week treatment for h pylori and no change,"Hello, Welcome to Chat Doctor, and thanks for your query. I understand your concern and problem. Your symptoms are caused by Gastroesophageal reflux disease (HERD) and Irritable Bowel Syn Chat Doctor.  H. Pylori is the cause for gastritis, duodenitis or ulcers in the same sites. It is not a cause for HERD. It is well known that HERD can worsen after treatment of H. Pylori. You require taking a proton pump inhibitor like omeprazole twice a day to reduce the acid production and a prokinetic agent to decrease the reflux. You also require having a healthy and bland diet devoid of spices, caffeinated or aerated"
"Which drug, previously used to treat morning sickness, inadvertently caused limb abnormalities by preventing the binding of homeodomain proteins to enhancers?",Thalidomide is the drug that was previously used to treat morning sickness and inadvertently caused limb abnormalities by preventing the binding of homeodomain proteins to enhancers.
